iter	Passed	Remaining
0	5	522
1	10	498
2	14	484
3	18	451
4	22	436
5	26	421
6	31	421
7	35	410
8	39	404
9	44	402
10	48	393
11	51	376
12	53	360
13	56	348
14	59	336
15	62	326
16	64	315
17	67	307
18	70	301
19	73	293
20	76	285
21	78	279
22	81	272
23	84	266
24	86	260
25	89	254
26	92	249
27	95	244
28	98	240
29	100	235
30	103	230
31	105	224
32	107	218
33	109	212
34	111	207
35	113	201
36	115	195
37	116	190
38	118	184
39	119	179
40	121	174
41	121	168
42	123	163
43	124	158
44	125	153
45	127	149
46	128	144
47	129	140
48	130	136
49	131	131
50	132	127
51	133	123
52	135	119
53	136	115
54	136	111
55	137	108
56	138	104
57	139	101
58	140	97
59	141	94
60	142	91
61	143	88
62	144	84
63	145	81
64	146	78
65	147	75
66	148	73
67	149	70
68	150	67
69	151	64
70	152	62
71	153	59
72	153	56
73	154	54
74	155	51
75	156	49
76	157	47
77	158	44
78	159	42
79	160	40
80	161	37
81	162	35
82	162	33
83	163	31
84	164	29
85	165	26
86	166	24
87	167	22
88	168	20
89	169	18
90	169	16
91	170	14
92	171	12
93	172	11
94	173	9
95	174	7
96	175	5
97	175	3
98	176	1
99	177	0
